Comparison,Number of studies,Within-study bias,Reporting bias,Indirectness,Imprecision,Heterogeneity,Incoherence,Confidence rating
Obeticholic acid:Saroglitazar,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
Obeticholic acid:Tropifexor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
Obeticholic acid:Tropifexor + Cenicriviroc,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
Obeticholic acid:Vitamin E,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
Obeticholic acid:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
Pegbelfermin:PXL065,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
Pegozafermin:PXL065,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
Pioglitazone:PXL065,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
PXL065:Resmetirom,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
PXL065:Saroglitazar,0,Major concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
PXL065:Tropifexor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
PXL065:Tropifexor + Cenicriviroc,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
PXL065:Vitamin E,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
PXL065:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
Pegbelfermin:Pegozafermin,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
Pegbelfermin:Pioglitazone,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
Pegbelfermin:Resmetirom,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
Pegbelfermin:Saroglitazar,0,Major concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
Pegbelfermin:Tropifexor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
Pegbelfermin:Tropifexor + Cenicriviroc,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
Pegbelfermin:Vitamin E,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
Pegbelfermin:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
Pegozafermin:Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
Pegozafermin:Resmetirom,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
Pegozafermin:Saroglitazar,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
Pegozafermin:Tropifexor,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
Pegozafermin:Tropifexor + Cenicriviroc,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
Pegozafermin:Vitamin E,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
Pegozafermin:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
Pioglitazone:Resmetirom,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
Pioglitazone:Saroglitazar,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
Pioglitazone:Tropifexor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
Pioglitazone:Tropifexor + Cenicriviroc,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
Pioglitazone:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
Placebo:Tropifexor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
Placebo:Tropifexor + Cenicriviroc,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
Resmetirom:Saroglitazar,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
Resmetirom:Tropifexor,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
Resmetirom:Tropifexor + Cenicriviroc,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
Resmetirom:Vitamin E,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
Resmetirom:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
Saroglitazar:Tropifexor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
Saroglitazar:Tropifexor + Cenicriviroc,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
Saroglitazar:Vitamin E,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
Saroglitazar:Vitamin E + Pioglitazone,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
Tropifexor:Vitamin E,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
Tropifexor:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,Some concerns,Some concerns,Some concerns,Very low
Tropifexor + Cenicriviroc:Vitamin E,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Some concerns,Very low
Tropifexor + Cenicriviroc:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,Some concerns,Some concerns,Some concerns,Very low
