Comparison,Number of studies,Within-study bias,Reporting bias,Indirectness,Imprecision,Heterogeneity,Incoherence,Confidence rating
Lanifibranor:Tropifexor + Cenicriviroc,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Lanifibranor:Vitamin E,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Lanifibranor:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Liraglutide:MSDC-0602K,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Liraglutide:Obeticholic acid,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Liraglutide:PXL065,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Liraglutide:Pegbelfermin,0,Some concerns,Low risk,No concerns,Some concerns,Some concerns,No concerns,Very low
Liraglutide:Pegozafermin,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Liraglutide:Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Liraglutide:Resmetirom,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Liraglutide:Saroglitazar,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Liraglutide:Semaglutide,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Liraglutide:Tropifexor,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Liraglutide:Tropifexor + Cenicriviroc,0,No concerns,Low risk,No concerns,Some concerns,Some concerns,No concerns,Low
Liraglutide:Vitamin E,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Liraglutide:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
MSDC-0602K:Obeticholic acid,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
MSDC-0602K:PXL065,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
MSDC-0602K:Pegbelfermin,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
MSDC-0602K:Pegozafermin,0,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate
MSDC-0602K:Pioglitazone,0,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate
MSDC-0602K:Resmetirom,0,Some concerns,Low risk,No concerns,No concerns,Some concerns,No concerns,Low
MSDC-0602K:Saroglitazar,0,Major concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
MSDC-0602K:Semaglutide,0,Some concerns,Low risk,No concerns,No concerns,Some concerns,No concerns,Low
MSDC-0602K:Tropifexor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
MSDC-0602K:Tropifexor + Cenicriviroc,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
MSDC-0602K:Vitamin E,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
MSDC-0602K:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,Some concerns,Some concerns,No concerns,Low
Obeticholic acid:PXL065,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Obeticholic acid:Pegbelfermin,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Obeticholic acid:Pegozafermin,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High
Obeticholic acid:Pioglitazone,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High
Obeticholic acid:Resmetirom,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High
Obeticholic acid:Saroglitazar,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Obeticholic acid:Semaglutide,0,No concerns,Low risk,No concerns,No concerns,Some concerns,No concerns,Moderate
Obeticholic acid:Tropifexor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Obeticholic acid:Tropifexor + Cenicriviroc,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Obeticholic acid:Vitamin E,0,No concerns,Low risk,No concerns,Some concerns,Some concerns,No concerns,Low
Obeticholic acid:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,Some concerns,No concerns,No concerns,Moderate
Pegbelfermin:PXL065,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Pegozafermin:PXL065,0,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate
Pioglitazone:PXL065,0,Some concerns,Low risk,No concerns,No concerns,Some concerns,No concerns,Low
PXL065:Resmetirom,0,Some concerns,Low risk,No concerns,Some concerns,Some concerns,No concerns,Very low
PXL065:Saroglitazar,0,Major concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
PXL065:Semaglutide,0,Some concerns,Low risk,No concerns,Some concerns,Some concerns,No concerns,Low
PXL065:Tropifexor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
PXL065:Tropifexor + Cenicriviroc,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
PXL065:Vitamin E,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
PXL065:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,Some concerns,Some concerns,No concerns,Low
Pegbelfermin:Pegozafermin,0,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate
Pegbelfermin:Pioglitazone,0,Some concerns,Low risk,No concerns,No concerns,Some concerns,No concerns,Low
Pegbelfermin:Resmetirom,0,Some concerns,Low risk,No concerns,No concerns,Major concerns,No concerns,Very low
Pegbelfermin:Saroglitazar,0,Major concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Pegbelfermin:Semaglutide,0,Some concerns,Low risk,No concerns,No concerns,Major concerns,No concerns,Very low
Pegbelfermin:Tropifexor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Pegbelfermin:Tropifexor + Cenicriviroc,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Pegbelfermin:Vitamin E,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Pegbelfermin:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,No concerns,Major concerns,No concerns,Low
Pegozafermin:Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Pegozafermin:Resmetirom,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Pegozafermin:Saroglitazar,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Pegozafermin:Semaglutide,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Pegozafermin:Tropifexor,0,No concerns,Low risk,No concerns,No concerns,Major concerns,No concerns,Low
Pegozafermin:Tropifexor + Cenicriviroc,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High
Pegozafermin:Vitamin E,0,No concerns,Low risk,No concerns,Some concerns,Some concerns,No concerns,Low
Pegozafermin:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Pioglitazone:Resmetirom,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Pioglitazone:Saroglitazar,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Pioglitazone:Semaglutide,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Pioglitazone:Tropifexor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Pioglitazone:Tropifexor + Cenicriviroc,0,No concerns,Low risk,No concerns,No concerns,Some concerns,No concerns,Moderate
Pioglitazone:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Placebo:Tropifexor + Cenicriviroc,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Resmetirom:Saroglitazar,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Resmetirom:Semaglutide,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Resmetirom:Tropifexor,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Resmetirom:Tropifexor + Cenicriviroc,0,No concerns,Low risk,No concerns,Some concerns,No concerns,No concerns,Moderate
Resmetirom:Vitamin E,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Resmetirom:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Saroglitazar:Semaglutide,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Saroglitazar:Tropifexor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Saroglitazar:Tropifexor + Cenicriviroc,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Saroglitazar:Vitamin E,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Saroglitazar:Vitamin E + Pioglitazone,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Semaglutide:Tropifexor,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Semaglutide:Tropifexor + Cenicriviroc,0,No concerns,Low risk,No concerns,Some concerns,Some concerns,No concerns,Low
Semaglutide:Vitamin E,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Semaglutide:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Tropifexor:Vitamin E,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Tropifexor:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Tropifexor + Cenicriviroc:Vitamin E,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Tropifexor + Cenicriviroc:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,Some concerns,Some concerns,No concerns,Low
