Comparison,Number of studies,Within-study bias,Reporting bias,Indirectness,Imprecision,Heterogeneity,Incoherence,Confidence rating
Resmetirom:Vitamin E,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Resmetirom:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Rosiglitazone:Semaglutide,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Rosiglitazone:Tropifexor,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Rosiglitazone:Tropifexor + Cenicriviroc,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Rosiglitazone:Vitamin E,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Rosiglitazone:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Semaglutide:Tropifexor,0,No concerns,Low risk,No concerns,No concerns,Major concerns,No concerns,Low
Semaglutide:Tropifexor + Cenicriviroc,0,No concerns,Low risk,No concerns,No concerns,Major concerns,No concerns,Low
Semaglutide:Vitamin E,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Semaglutide:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Tropifexor:Vitamin E,0,No concerns,Low risk,No concerns,No concerns,Major concerns,No concerns,Low
Tropifexor:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,No concerns,Major concerns,No concerns,Low
Tropifexor + Cenicriviroc:Vitamin E,0,No concerns,Low risk,No concerns,Some concerns,Some concerns,No concerns,Low
Tropifexor + Cenicriviroc:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,No concerns,Major concerns,No concerns,Low
