Comparison,Number of studies,Within-study bias,Reporting bias,Indirectness,Imprecision,Heterogeneity,Incoherence,Confidence rating
Cenicriviroc:Tropifexor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Cenicriviroc:Vitamin E,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Cenicriviroc:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Efruxifermin:Lanifibranor,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Efruxifermin:MSDC-0602K,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Efruxifermin:Obeticholic acid,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Efruxifermin:PXL065,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Efruxifermin:Pegbelfermin,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Efruxifermin:Pegozafermin,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Efruxifermin:Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Efruxifermin:Resmetirom,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Efruxifermin:Saroglitazar,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Efruxifermin:Semaglutide,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Efruxifermin:Tropifexor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Efruxifermin:Vitamin E,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Efruxifermin:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Lanifibranor:MSDC-0602K,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Lanifibranor:Obeticholic acid,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Lanifibranor:PXL065,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Lanifibranor:Pegbelfermin,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Lanifibranor:Pegozafermin,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Lanifibranor:Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Lanifibranor:Resmetirom,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Lanifibranor:Saroglitazar,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Lanifibranor:Semaglutide,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Lanifibranor:Tropifexor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Lanifibranor:Vitamin E,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Lanifibranor:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
MSDC-0602K:Obeticholic acid,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
MSDC-0602K:PXL065,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
MSDC-0602K:Pegbelfermin,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
MSDC-0602K:Pegozafermin,0,Some concerns,Low risk,No concerns,Some concerns,Some concerns,Major concerns,Very low
MSDC-0602K:Pioglitazone,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
MSDC-0602K:Resmetirom,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
MSDC-0602K:Saroglitazar,0,Major concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
MSDC-0602K:Semaglutide,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
MSDC-0602K:Tropifexor,0,Major concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
MSDC-0602K:Vitamin E,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
MSDC-0602K:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Obeticholic acid:PXL065,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Obeticholic acid:Pegbelfermin,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Obeticholic acid:Pegozafermin,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Obeticholic acid:Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Obeticholic acid:Resmetirom,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Obeticholic acid:Saroglitazar,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Obeticholic acid:Semaglutide,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Obeticholic acid:Tropifexor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Obeticholic acid:Vitamin E,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Obeticholic acid:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Pegbelfermin:PXL065,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Pegozafermin:PXL065,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Pioglitazone:PXL065,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
PXL065:Resmetirom,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
PXL065:Saroglitazar,0,Major concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
PXL065:Semaglutide,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
PXL065:Tropifexor,0,Major concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
PXL065:Vitamin E,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
PXL065:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Pegbelfermin:Pegozafermin,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Pegbelfermin:Pioglitazone,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Pegbelfermin:Resmetirom,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Pegbelfermin:Saroglitazar,0,Major concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Pegbelfermin:Semaglutide,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Pegbelfermin:Tropifexor,0,Major concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Pegbelfermin:Vitamin E,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Pegbelfermin:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Pegozafermin:Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Pegozafermin:Resmetirom,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Pegozafermin:Saroglitazar,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Pegozafermin:Semaglutide,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Pegozafermin:Tropifexor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Pegozafermin:Vitamin E,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Pegozafermin:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Pioglitazone:Resmetirom,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Pioglitazone:Saroglitazar,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Pioglitazone:Semaglutide,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Pioglitazone:Tropifexor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Pioglitazone:Vitamin E,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Pioglitazone:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Resmetirom:Saroglitazar,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Resmetirom:Semaglutide,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Resmetirom:Tropifexor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Resmetirom:Vitamin E,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Resmetirom:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Saroglitazar:Semaglutide,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Saroglitazar:Tropifexor,0,Major concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Saroglitazar:Vitamin E,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Saroglitazar:Vitamin E + Pioglitazone,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Semaglutide:Tropifexor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Semaglutide:Vitamin E,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Semaglutide:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Tropifexor:Vitamin E,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Tropifexor:Vitamin E + Pioglitazone,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
